iter	Passed	Remaining
0	109	109128
1	111	55863
2	114	37984
3	116	29066
4	119	23752
5	121	20147
6	124	17684
7	126	15703
8	128	14156
9	130	12911
10	132	11953
11	135	11135
12	137	10446
13	139	9837
14	141	9285
15	144	8866
16	145	8434
17	148	8093
18	150	7768
19	152	7478
20	155	7243
21	157	7005
22	159	6767
23	161	6559
24	162	6353
25	165	6196
26	167	6028
27	169	5869
28	171	5736
29	173	5613
30	176	5502
31	177	5380
32	179	5264
33	182	5176
34	184	5075
35	186	4981
36	188	4896
37	189	4805
38	192	4740
39	194	4668
40	195	4584
41	197	4511
42	199	4437
43	202	4393
44	204	4331
45	206	4272
46	207	4209
47	209	4149
48	211	4108
49	213	4063
50	215	4016
51	218	3979
52	219	3930
53	221	3884
54	223	3842
55	225	3808
56	227	3762
57	229	3725
58	231	3684
59	232	3646
60	234	3608
61	236	3573
62	237	3538
63	239	3509
64	241	3476
65	243	3445
66	245	3416
67	246	3375
68	248	3354
69	250	3323
70	251	3296
71	253	3271
72	255	3244
73	257	3219
74	259	3199
75	260	3172
76	263	3153
77	265	3133
78	266	3111
79	268	3089
80	270	3072
81	272	3051
82	275	3044
83	277	3028
84	279	3005
85	281	2990
86	282	2967
87	284	2952
88	286	2932
89	288	2914
90	290	2899
91	291	2879
92	293	2861
93	295	2847
94	297	2832
95	299	2818
96	301	2805
97	303	2797
98	305	2784
99	308	2777
100	310	2761
101	311	2740
102	313	2730
103	315	2715
104	316	2700
105	318	2689
106	320	2678
107	322	2664
108	324	2648
109	326	2640
110	328	2628
111	330	2619
112	332	2611
113	334	2601
114	337	2593
115	338	2579
116	340	2567
117	342	2559
118	343	2544
119	345	2536
120	347	2525
121	349	2514
122	350	2497
123	352	2493
124	354	2480
125	356	2471
126	359	2467
127	360	2453
128	362	2446
129	364	2436
130	366	2431
131	368	2421
132	370	2418
133	373	2414
134	375	2407
135	377	2399
136	379	2389
137	380	2379
138	383	2375
139	385	2367
140	386	2357
141	388	2347
142	389	2335
143	392	2332
144	394	2325
145	396	2316
146	397	2309
147	399	2299
148	401	2293
149	403	2285
150	405	2277
151	407	2270
152	409	2264
153	410	2257
154	413	2253
155	414	2245
156	416	2235
157	418	2230
158	420	2222
159	422	2216
160	424	2211
161	425	2202
162	427	2194
163	430	2191
164	431	2185
165	433	2178
166	435	2170
167	436	2163
168	438	2158
169	440	2151
170	442	2142
171	443	2137
172	446	2133
173	448	2127
174	449	2120
175	451	2115
176	453	2109
177	456	2106
178	458	2101
179	460	2096
180	461	2089
181	463	2084
182	465	2078
183	467	2072
184	468	2064
185	470	2058
186	472	2052
187	473	2047
188	475	2041
189	477	2036
190	479	2030
191	480	2024
192	482	2018
193	484	2013
194	487	2010
195	488	2004
196	491	2002
197	493	1997
198	495	1993
199	496	1987
200	498	1981
201	500	1976
202	502	1972
203	504	1966
204	506	1964
205	508	1959
206	510	1955
207	512	1949
208	513	1944
209	515	1938
210	517	1935
211	519	1930
212	521	1926
213	523	1923
214	525	1919
215	527	1915
216	529	1910
217	531	1904
218	532	1897
219	534	1894
220	535	1889
221	537	1883
222	539	1880
223	541	1875
224	543	1871
225	544	1866
226	546	1860
227	548	1858
228	550	1852
229	552	1848
230	554	1844
231	555	1839
232	557	1835
233	558	1829
234	560	1825
235	563	1823
236	564	1818
237	566	1814
238	568	1810
239	569	1804
240	571	1798
241	572	1793
242	574	1788
243	575	1784
244	577	1779
245	579	1776
246	581	1771
247	583	1770
248	585	1766
249	587	1762
250	589	1758
251	590	1753
252	593	1751
253	594	1746
254	596	1742
255	598	1740
256	600	1736
257	602	1731
258	603	1727
259	605	1722
260	606	1717
261	608	1713
262	610	1710
263	612	1706
264	614	1704
265	616	1700
266	618	1697
267	619	1692
268	621	1689
269	623	1686
270	625	1683
271	627	1679
272	628	1674
273	630	1671
274	633	1670
275	636	1669
276	637	1664
277	640	1662
278	641	1658
279	643	1655
280	645	1651
281	646	1646
282	649	1645
283	651	1641
284	652	1637
285	654	1633
286	655	1629
287	657	1626
288	659	1622
289	661	1618
290	663	1616
291	664	1612
292	666	1608
293	668	1605
294	670	1603
295	673	1602
296	676	1600
297	700	1651
298	702	1647
299	704	1644
300	706	1640
301	708	1636
302	710	1633
303	711	1629
304	713	1626
305	715	1623
306	717	1619
307	719	1616
308	721	1612
309	722	1609
310	724	1605
311	726	1602
312	728	1599
313	756	1653
314	761	1655
315	763	1653
316	765	1650
317	780	1674
318	783	1672
319	785	1669
320	792	1675
321	803	1692
322	805	1688
323	807	1683
324	808	1679
325	810	1675
326	811	1670
327	823	1686
328	824	1681
329	829	1683
330	830	1677
331	831	1672
332	831	1666
333	832	1660
334	833	1655
335	834	1649
336	836	1645
337	845	1656
338	846	1651
339	851	1652
340	855	1653
341	857	1649
342	860	1647
343	861	1643
344	863	1640
345	868	1640
346	869	1636
347	870	1631
348	872	1627
349	874	1623
350	875	1618
351	877	1614
352	879	1611
353	886	1617
354	887	1612
355	891	1613
356	893	1609
357	894	1604
358	900	1608
359	901	1603
360	902	1597
361	903	1592
362	910	1597
363	928	1623
364	933	1624
365	935	1619
366	936	1615
367	938	1611
368	939	1607
369	941	1602
370	942	1597
371	943	1593
372	945	1589
373	946	1584
374	948	1581
375	949	1576
376	951	1572
377	953	1568
378	954	1564
379	956	1560
380	957	1555
381	958	1551
382	962	1550
383	963	1545
384	968	1546
385	969	1542
386	970	1537
387	974	1536
388	976	1533
389	978	1529
390	979	1526
391	982	1523
392	984	1520
393	986	1516
394	988	1514
395	990	1510
396	992	1507
397	994	1504
398	996	1501
399	998	1498
400	1000	1494
401	1003	1492
402	1005	1489
403	1007	1486
404	1009	1482
405	1010	1478
406	1012	1475
407	1014	1471
408	1017	1469
409	1018	1465
410	1020	1462
411	1022	1458
412	1023	1455
413	1026	1453
414	1032	1455
415	1033	1451
416	1035	1448
417	1038	1445
418	1040	1442
419	1042	1439
420	1043	1435
421	1046	1432
422	1048	1429
423	1050	1427
424	1054	1426
425	1056	1423
426	1057	1419
427	1059	1415
428	1060	1411
429	1061	1407
430	1063	1404
431	1065	1400
432	1066	1396
433	1067	1392
434	1069	1389
435	1071	1385
436	1072	1381
437	1074	1378
438	1075	1374
439	1077	1371
440	1078	1367
441	1080	1364
442	1082	1360
443	1083	1357
444	1085	1353
445	1086	1349
446	1088	1346
447	1090	1343
448	1091	1339
449	1093	1335
450	1094	1332
451	1096	1329
452	1097	1325
453	1099	1322
454	1101	1318
455	1102	1315
456	1104	1312
457	1106	1308
458	1107	1305
459	1109	1302
460	1110	1298
461	1112	1295
462	1114	1292
463	1115	1288
464	1116	1284
465	1118	1281
466	1119	1277
467	1121	1274
468	1122	1271
469	1124	1267
470	1126	1264
471	1127	1261
472	1129	1258
473	1131	1255
474	1132	1252
475	1134	1249
476	1136	1245
477	1137	1242
478	1139	1239
479	1140	1235
480	1142	1232
481	1144	1229
482	1145	1226
483	1147	1222
484	1148	1219
485	1150	1216
486	1151	1213
487	1153	1209
488	1154	1206
489	1156	1203
490	1157	1199
491	1159	1196
492	1160	1193
493	1161	1190
494	1163	1187
495	1165	1184
496	1166	1180
497	1168	1177
498	1169	1174
499	1171	1171
500	1172	1168
501	1173	1164
502	1175	1161
503	1176	1158
504	1178	1155
505	1179	1151
506	1181	1148
507	1182	1145
508	1184	1142
509	1185	1139
510	1186	1135
511	1188	1132
512	1189	1129
513	1191	1126
514	1192	1123
515	1194	1120
516	1195	1117
517	1197	1114
518	1198	1111
519	1200	1108
520	1201	1105
521	1203	1102
522	1204	1098
523	1206	1095
524	1207	1092
525	1208	1088
526	1209	1085
527	1210	1082
528	1212	1079
529	1214	1076
530	1215	1073
531	1217	1070
532	1218	1067
533	1219	1064
534	1221	1061
535	1224	1059
536	1226	1057
537	1227	1054
538	1229	1051
539	1231	1048
540	1232	1045
541	1234	1043
542	1235	1039
543	1237	1037
544	1238	1034
545	1240	1031
546	1242	1028
547	1243	1025
548	1245	1023
549	1246	1020
550	1248	1017
551	1250	1014
552	1251	1011
553	1252	1008
554	1254	1005
555	1255	1002
556	1257	1000
557	1259	997
558	1260	994
559	1262	991
560	1263	988
561	1265	986
562	1266	983
563	1268	980
564	1269	977
565	1271	974
566	1272	972
567	1274	969
568	1275	966
569	1277	963
570	1279	961
571	1281	958
572	1283	956
573	1284	953
574	1285	950
575	1287	947
576	1289	945
577	1290	942
578	1292	939
579	1293	936
580	1295	934
581	1297	931
582	1298	928
583	1299	925
584	1301	923
585	1302	920
586	1304	917
587	1305	914
588	1307	912
589	1308	909
590	1310	906
591	1311	904
592	1313	901
593	1314	898
594	1316	896
595	1318	893
596	1319	890
597	1321	888
598	1323	885
599	1324	883
600	1326	880
601	1327	877
602	1329	875
603	1330	872
604	1331	869
605	1333	866
606	1334	864
607	1336	861
608	1338	859
609	1339	856
610	1341	853
611	1342	851
612	1344	848
613	1345	845
614	1347	843
615	1348	840
616	1350	838
617	1351	835
618	1352	832
619	1354	830
620	1355	827
621	1357	824
622	1358	822
623	1360	819
624	1362	817
625	1364	815
626	1365	812
627	1367	810
628	1369	807
629	1371	805
630	1373	802
631	1374	800
632	1376	798
633	1378	795
634	1380	793
635	1382	791
636	1383	788
637	1385	786
638	1387	783
639	1389	781
640	1409	789
641	1411	786
642	1412	784
643	1414	782
644	1416	779
645	1418	777
646	1420	775
647	1422	772
648	1424	770
649	1426	768
650	1428	765
651	1430	763
652	1431	760
653	1433	758
654	1435	756
655	1437	753
656	1446	755
657	1454	756
658	1456	753
659	1459	751
660	1462	750
661	1464	747
662	1469	746
663	1471	744
664	1472	741
665	1474	739
666	1475	736
667	1476	733
668	1480	732
669	1482	730
670	1484	727
671	1485	725
672	1488	723
673	1490	720
674	1501	722
675	1502	720
676	1503	717
677	1505	715
678	1519	718
679	1520	715
680	1522	713
681	1524	710
682	1528	709
683	1530	706
684	1531	704
685	1532	701
686	1534	699
687	1536	696
688	1537	694
689	1539	691
690	1541	689
691	1542	686
692	1544	684
693	1545	681
694	1547	678
695	1548	676
696	1550	673
697	1552	671
698	1553	669
699	1555	666
700	1556	664
701	1558	661
702	1560	659
703	1561	656
704	1563	654
705	1564	651
706	1565	648
707	1567	646
708	1568	643
709	1569	640
710	1570	638
711	1571	635
712	1572	633
713	1573	630
714	1574	627
715	1575	624
716	1576	622
717	1577	619
718	1578	616
719	1579	614
720	1581	612
721	1582	609
722	1584	606
723	1585	604
724	1587	602
725	1589	599
726	1591	597
727	1592	595
728	1594	592
729	1596	590
730	1597	587
731	1599	585
732	1601	583
733	1602	580
734	1604	578
735	1606	576
736	1607	573
737	1609	571
738	1610	568
739	1612	566
740	1613	563
741	1615	561
742	1617	559
743	1619	557
744	1625	556
745	1627	554
746	1629	551
747	1630	549
748	1632	547
749	1633	544
750	1635	542
751	1636	539
752	1638	537
753	1640	535
754	1641	532
755	1643	530
756	1645	528
757	1646	525
758	1647	523
759	1649	520
760	1650	518
761	1652	516
762	1654	513
763	1656	511
764	1657	509
765	1659	506
766	1661	504
767	1662	502
768	1663	499
769	1665	497
770	1667	495
771	1668	492
772	1669	490
773	1671	488
774	1673	485
775	1675	483
776	1676	481
777	1678	478
778	1679	476
779	1681	474
780	1683	472
781	1684	469
782	1686	467
783	1688	465
784	1690	462
785	1691	460
786	1693	458
787	1695	456
788	1696	453
789	1698	451
790	1699	449
791	1700	446
792	1702	444
793	1704	442
794	1705	439
795	1707	437
796	1708	435
797	1710	432
798	1713	430
799	1714	428
800	1716	426
801	1717	423
802	1718	421
803	1720	419
804	1721	417
805	1723	414
806	1724	412
807	1726	410
808	1727	407
809	1728	405
810	1730	403
811	1731	400
812	1733	398
813	1734	396
814	1736	394
815	1737	391
816	1739	389
817	1740	387
818	1741	384
819	1743	382
820	1745	380
821	1746	378
822	1748	375
823	1749	373
824	1750	371
825	1752	369
826	1754	366
827	1755	364
828	1757	362
829	1758	360
830	1760	357
831	1761	355
832	1763	353
833	1764	351
834	1766	348
835	1767	346
836	1769	344
837	1770	342
838	1772	340
839	1773	337
840	1775	335
841	1777	333
842	1778	331
843	1780	329
844	1782	326
845	1783	324
846	1785	322
847	1786	320
848	1788	318
849	1790	315
850	1792	313
851	1794	311
852	1795	309
853	1797	307
854	1798	305
855	1800	302
856	1801	300
857	1803	298
858	1805	296
859	1806	294
860	1808	291
861	1809	289
862	1811	287
863	1812	285
864	1814	283
865	1815	280
866	1817	278
867	1819	276
868	1820	274
869	1822	272
870	1824	270
871	1826	268
872	1827	265
873	1829	263
874	1830	261
875	1832	259
876	1833	257
877	1835	254
878	1836	252
879	1838	250
880	1839	248
881	1841	246
882	1842	244
883	1844	242
884	1846	239
885	1847	237
886	1849	235
887	1850	233
888	1852	231
889	1854	229
890	1855	226
891	1856	224
892	1858	222
893	1859	220
894	1861	218
895	1862	216
896	1864	214
897	1865	211
898	1867	209
899	1869	207
900	1871	205
901	1872	203
902	1874	201
903	1876	199
904	1878	197
905	1879	195
906	1881	192
907	1882	190
908	1884	188
909	1886	186
910	1888	184
911	1889	182
912	1891	180
913	1892	178
914	1894	175
915	1896	173
916	1897	171
917	1899	169
918	1900	167
919	1901	165
920	1902	163
921	1903	161
922	1904	158
923	1906	156
924	1908	154
925	1910	152
926	1912	150
927	1914	148
928	1916	146
929	1917	144
930	1919	142
931	1921	140
932	1923	138
933	1925	136
934	1926	133
935	1928	131
936	1929	129
937	1931	127
938	1933	125
939	1935	123
940	1973	123
941	1975	121
942	1977	119
943	1979	117
944	1981	115
945	1983	113
946	1985	111
947	1986	108
948	1988	106
949	1990	104
950	1992	102
951	2001	100
952	2002	98
953	2005	96
954	2010	94
955	2012	92
956	2014	90
957	2018	88
958	2024	86
959	2026	84
960	2028	82
961	2031	80
962	2032	78
963	2034	75
964	2036	73
965	2038	71
966	2039	69
967	2041	67
968	2043	65
969	2061	63
970	2063	61
971	2065	59
972	2066	57
973	2068	55
974	2069	53
975	2071	50
976	2073	48
977	2074	46
978	2076	44
979	2078	42
980	2080	40
981	2081	38
982	2083	36
983	2084	33
984	2086	31
985	2088	29
986	2105	27
987	2107	25
988	2108	23
989	2110	21
990	2112	19
991	2114	17
992	2115	14
993	2117	12
994	2128	10
995	2130	8
996	2132	6
997	2133	4
998	2135	2
999	2138	0
